id,geometry,value
170316406001,"POLYGON ((-87.766609 41.77795,-87.764168 41.778005,-87.761715 41.778053,-87.761583 41.774388,-87.762198 41.774385,-87.76403 41.774358,-87.766466 41.77431,-87.766485 41.774776,-87.766609 41.77795))",-1
170318149004,"POLYGON ((-87.796086 41.856005,-87.793491 41.856044,-87.791044 41.85608,-87.789822 41.856099,-87.789766 41.854105,-87.790989 41.854086,-87.793435 41.854047,-87.795974 41.854008,-87.796086 41.856005))",-1
170318041052,"POLYGON ((-88.109044 42.099225,-88.103818 42.100744,-88.100536 42.100452,-88.10077 42.096601,-88.098966 42.094406,-88.100506 42.090209,-88.099248 42.086143,-88.105161 42.087471,-88.103318 42.090771,-88.106002 42.093099,-88.106384 42.097476,-88.109044 42.099225))",-1
170318091003,"POLYGON ((-87.710717 42.064436,-87.703437 42.06437,-87.703466 42.058106,-87.710793 42.05798,-87.710717 42.064436))",-1
170318042021,"POLYGON ((-88.134694 42.154212,-88.133659 42.154204,-88.128354 42.154191,-88.121545 42.154193,-88.12166 42.14744,-88.128521 42.151013,-88.133743 42.153718,-88.134694 42.154212))",-1
170317112003,"POLYGON ((-87.67049 41.741153,-87.668059 41.741186,-87.66685 41.7412,-87.66671 41.735741,-87.667925 41.735725,-87.670358 41.735694,-87.67049 41.741153))",450.0
170317201002,"POLYGON ((-87.682514 41.735525,-87.67605 41.735615,-87.67309 41.73565,-87.668216 41.730177,-87.667436 41.728451,-87.669177 41.728233,-87.67133 41.726566,-87.672943 41.726544,-87.67738 41.72648,-87.677345 41.725346,-87.678553 41.725331,-87.679759 41.725315,-87.682206 41.725278,-87.682291 41.728236,-87.682514 41.735525))",378.0
170311006001,"POLYGON ((-87.792591 41.982319,-87.792588 41.982872,-87.787735 41.982899,-87.787752 41.982061,-87.787805 41.979272,-87.78786 41.976286,-87.792677 41.977844,-87.792591 41.982319))",-1
170318348002,"POLYGON ((-87.649737 41.783315,-87.644877 41.783386,-87.640081 41.783466,-87.640036 41.781669,-87.640025 41.78119,-87.640028 41.780745,-87.643678 41.780664,-87.644839 41.781557,-87.644786 41.779751,-87.648419 41.779678,-87.649643 41.779674,-87.649691 41.781492,-87.649737 41.783315))",-1
170315603001,"POLYGON ((-87.752912 41.807494,-87.743222 41.807617,-87.743127 41.80397,-87.752836 41.803843,-87.752912 41.807494))",409.0
170318241162,"POLYGON ((-87.863318 41.627036,-87.862547 41.627632,-87.853862 41.627762,-87.853719 41.623233,-87.853452 41.61595,-87.862984 41.615769,-87.863201 41.622997,-87.863318 41.627036))",-1
170313017023,"POLYGON ((-87.718355 41.840664,-87.714693 41.840722,-87.714594 41.837056,-87.717031 41.837012,-87.718304 41.838826,-87.718355 41.840664))",-1
170318028015,"POLYGON ((-87.956235 42.08087,-87.952594 42.080841,-87.951464 42.080827,-87.946493 42.080805,-87.946521 42.077187,-87.946543 42.075361,-87.946567 42.073564,-87.951412 42.073591,-87.956293 42.073624,-87.956235 42.08087))",-1
170318247012,"POLYGON ((-87.727783 41.632706,-87.715593 41.632948,-87.715437 41.629251,-87.717865 41.629209,-87.727643 41.629037,-87.727783 41.632706))",-1
170310802023,"POLYGON ((-87.630777 41.905792,-87.630042 41.905803,-87.630059 41.90639,-87.630106 41.907857,-87.628785 41.907799,-87.628775 41.906764,-87.628743 41.905819,-87.62871 41.904854,-87.628678 41.903942,-87.629986 41.903923,-87.630716 41.903914,-87.630777 41.905792))",-1
170318220004,"POLYGON ((-87.741116 41.729674,-87.73945 41.731163,-87.736577 41.730989,-87.733875 41.729522,-87.733058 41.731507,-87.732389 41.732035,-87.730958 41.731015,-87.729041 41.729648,-87.731679 41.727588,-87.738624 41.727419,-87.738661 41.729177,-87.741099 41.729164,-87.741116 41.729674))",-1
170316603023,"POLYGON ((-87.700911 41.786286,-87.699691 41.786307,-87.697254 41.786347,-87.697201 41.784525,-87.69715 41.782704,-87.698368 41.782684,-87.700805 41.782647,-87.700911 41.786286))",329.0
170310803004,"POLYGON ((-87.635701 41.91115,-87.634711 41.91116,-87.63323 41.911164,-87.633121 41.907696,-87.635597 41.907651,-87.635701 41.91115))",-1
170318203004,"POLYGON ((-87.810643 41.787108,-87.80133 41.787331,-87.801216 41.784688,-87.801212 41.7846,-87.811528 41.784381,-87.810643 41.787108))",-1
170311607005,"POLYGON ((-87.708015 41.953915,-87.705574 41.953938,-87.704353 41.953945,-87.704247 41.950299,-87.707918 41.950281,-87.708015 41.953915))",-1
170318109005,"POLYGON ((-87.816011 41.923339,-87.812351 41.923396,-87.812233 41.919743,-87.812114 41.916089,-87.811995 41.912431,-87.811888 41.908775,-87.813095 41.908755,-87.813216 41.912411,-87.813334 41.916067,-87.813455 41.919722,-87.815893 41.91968,-87.816011 41.923339))",-1
170318161002,"POLYGON ((-87.809197 41.868586,-87.804333 41.868683,-87.804199 41.86498,-87.804142 41.863246,-87.807788 41.863129,-87.808946 41.861384,-87.809074 41.864904,-87.809063 41.865027,-87.809128 41.866761,-87.809197 41.868586))",-1
170314908005,"POLYGON ((-87.623595 41.710806,-87.618727 41.710883,-87.618643 41.707239,-87.623523 41.707165,-87.623595 41.710806))",-1
170318036101,"POLYGON ((-88.093292 42.133667,-88.074757 42.136071,-88.071056 42.136415,-88.07163 42.134754,-88.071945 42.134309,-88.071718 42.133075,-88.071688 42.132607,-88.072084 42.131547,-88.072139 42.131089,-88.071753 42.12983,-88.071738 42.128933,-88.074567 42.128275,-88.075623 42.125403,-88.090914 42.132207,-88.093292 42.133667))",-1
170315701001,"POLYGON ((-87.724054 41.823135,-87.714319 41.826189,-87.71431 41.826053,-87.714329 41.822435,-87.713876 41.80818,-87.713872 41.807992,-87.714187 41.807989,-87.722361 41.807889,-87.722304 41.806055,-87.723529 41.806039,-87.723587 41.807884,-87.72404 41.82254,-87.724054 41.823135))",538.0
170318210012,"POLYGON ((-87.793637 41.748229,-87.788762 41.748303,-87.787544 41.748325,-87.787401 41.744668,-87.787258 41.741018,-87.789689 41.740974,-87.789613 41.73915,-87.793261 41.739083,-87.793305 41.740159,-87.793336 41.740909,-87.793637 41.748229))",-1
170311105022,"POLYGON ((-87.764174 41.973327,-87.763911 41.973331,-87.762049 41.972897,-87.75521 41.972965,-87.752802 41.972439,-87.752652 41.968881,-87.756647 41.968854,-87.758291 41.969726,-87.761231 41.968442,-87.764132 41.971655,-87.765353 41.973009,-87.764174 41.973327))",539.0
170312516002,"POLYGON ((-87.753022 41.891319,-87.748134 41.891359,-87.748083 41.890004,-87.748002 41.887885,-87.750443 41.887866,-87.752895 41.887842,-87.753022 41.891319))",-1
170318302022,"POLYGON ((-87.70327 41.490231,-87.696205 41.490529,-87.694834 41.488727,-87.695371 41.487118,-87.693403 41.486189,-87.693396 41.484495,-87.693596 41.480612,-87.700263 41.48409,-87.701494 41.484322,-87.703234 41.484369,-87.703265 41.488881,-87.70327 41.490231))",-1
170310702002,"POLYGON ((-87.648873 41.928659,-87.64644 41.928696,-87.646397 41.927288,-87.644026 41.927326,-87.643992 41.926727,-87.643927 41.925532,-87.648761 41.925454,-87.648873 41.928659))",-1
170316501002,"POLYGON ((-87.717958 41.782374,-87.71285 41.782461,-87.712772 41.779742,-87.712726 41.778832,-87.712897 41.778831,-87.717854 41.778735,-87.717958 41.782374))",-1
170318258033,"POLYGON ((-87.555378 41.622689,-87.549047 41.622712,-87.548951 41.616406,-87.54912 41.615452,-87.549452 41.615452,-87.554069 41.615446,-87.555319 41.615445,-87.555378 41.622689))",-1
170317005013,"POLYGON ((-87.695068 41.749869,-87.688959 41.750011,-87.688835 41.744544,-87.694922 41.744445,-87.695068 41.749869))",1021.0
170318025053,"POLYGON ((-87.910812 42.131403,-87.901369 42.131383,-87.896346 42.122976,-87.89593 42.121852,-87.89581 42.121835,-87.895751 42.121662,-87.894165 42.115863,-87.893754 42.114729,-87.895368 42.114726,-87.896868 42.114626,-87.904186 42.118276,-87.906109 42.12504,-87.907568 42.12606,-87.908541 42.129438,-87.910812 42.131403))",-1
170310503003,"POLYGON ((-87.694794 41.961273,-87.692353 41.961289,-87.691804 41.961292,-87.691699 41.957651,-87.692068 41.954007,-87.694446 41.953994,-87.694351 41.957597,-87.694571 41.959396,-87.694794 41.961273))",-1
